PDB resol good_TM
1F88 2.80 1
1GZM 2.65 1
1HZX 2.80 1
1JFP 99.90 0
1L9H 2.60 1
1LN6 99.90 0
1U19 2.20 1
2G87 2.60 1
2HPY 2.80 1
2I35 3.80 1
2I36 4.10 1
2I37 4.15 0
2J4Y 3.40 1
2LNL 99.90 0
2LOT 99.90 0
2LOU 99.90 0
2LOV 99.90 0
2LOW 99.90 0
2PED 2.95 1
2R4R 3.40 0
2R4S 2.70 0
2RH1 2.40 1
2VT4 2.70 1
2X72 3.00 1
2Y00 2.50 1
2Y01 2.60 1
2Y02 2.60 1
2Y03 2.85 1
2Y04 3.05 1
2YCW 3.00 1
2YCX 3.25 1
2YCY 3.15 1
2YCZ 3.65 1
2YDO 3.00 1
2YDV 2.60 1
2Z73 2.50 1
2ZIY 3.70 1
3AYM 2.80 1
3AYN 2.70 1
3C9L 2.65 1
3C9M 3.40 1
3CAP 2.90 1
3D4S 2.80 1
3DQB 3.20 1
3EML 2.60 1
3KJ6 3.40 1
3NY8 2.84 1
3NY9 2.84 1
3NYA 3.16 1
3OAX 2.60 1
3ODU 2.50 1
3OE0 2.90 1
3OE6 3.20 1
3OE8 3.10 1
3OE9 3.10 1
3P0G 3.50 1
3PBL 2.89 1
3PDS 3.50 1
3PQR 2.85 1
3PWH 3.30 1
3PXO 3.00 1
3QAK 2.71 1
3REY 3.31 1
3RFM 3.60 1
3RZE 3.10 1
3SN6 3.20 1
3UON 3.00 1
3UZA 3.27 1
3UZC 3.34 1
3V2W 3.35 1
3V2Y 2.80 1
3VG9 2.70 1
3VGA 3.10 1
3VW7 2.20 1
3ZEV 3.00 1
3ZPQ 2.80 1
3ZPR 2.70 1
4A4M 3.30 1
4AMI 3.20 1
4AMJ 2.30 1
4BEY 2.90 1
4BEZ 3.30 1
4BUO 2.75 1
4BV0 3.10 1
4BVN 2.10 1
4BWB 3.57 1
4DAJ 3.40 1
4DJH 2.90 1
4DKL 2.80 1
4EA3 3.01 1
4EIY 1.80 1
4EJ4 3.40 1
4F11 2.38 0
4F12 3.02 0
4GPO 3.50 1
4GRV 2.80 1
4IAQ 2.80 1
4IAR 2.70 1
4IB4 2.70 1
4J4Q 2.65 1
4JKV 2.45 1
4K5Y 2.98 1
4L6R 3.30 1
4MBS 2.71 1
4MQE 2.35 0
4MQF 2.22 0
4MQS 3.50 1
4MQT 3.70 1
4MR7 2.15 0
4MR8 2.15 0
4MR9 2.35 0
4MRM 2.86 0
4MS1 2.25 0
4MS3 2.50 0
4MS4 1.90 0
4N4W 2.80 1
4N6H 1.80 1
4NC3 2.80 1
4NTJ 2.62 1
4OR2 2.80 1
4PHU 2.33 1
4PXZ 2.50 1
4PY0 3.10 1
4LDO 3.20 1
4LDE 2.79 1
4LDL 3.10 1
4QKX 3.30 1
4QXE 2.20 0
4QXF 2.25 0
4ZUD 2.80 1
4U14 3.57 1
4U15 2.80 1
4U16 3.70 1
4OO9 2.60 1
4Z34 3.00 1
4RWD 2.70 1
4RWA 3.28 1
4PXF 2.75 1
4QIM 2.61 0
4QIN 2.60 0
4XT1 2.89 1
4XT3 3.80 1
4XNV 2.20 1
4XNW 2.70 1
4RWS 3.10 1
4UG2 2.60 1
4UHR 2.60 1
4YAY 2.90 1
4Z35 2.90 1
4Z36 2.90 1
4ZWJ 3.30 1
4XEE 2.90 1
4XES 2.60 1
4WW3 2.80 1
5C1M 2.10 1
5DHG 3.00 1
4S0V 2.50 1
4X1H 2.29 1
4GBR 3.99 1
5CGD 2.60 1
5CGC 3.10 1
4O9R 3.20 1
5DHH 3.00 1
5A8E 2.40 1
5CXV 2.70 1
4ZJC 2.83 1
5F8U 3.35 1
1HOF 3.35 0
2KS9 3.35 0
2KSA 3.35 0
4ZJ8 2.75 1
5D5B 3.80 1
5DGY 7.70 1
2KSB 7.70 0
1HLL 7.70 0
5D5A 2.48 1
5DSG 2.60 1
5JQH 3.20 1
5EE7 2.50 1
5IUB 2.10 1
5IU4 1.72 1
5IUA 2.20 1
5IU7 1.90 1
5IU8 2.00 1
4Z9G 3.18 1
5DYS 2.30 1
5EN0 2.81 1
5G53 3.40 1
5L7I 3.30 1
5D6L 3.20 1
5L7D 3.20 1
5K2A 2.50 1
5K2C 1.90 1
5GLH 2.80 1
5K2B 2.50 1
5K2D 1.90 1
5TGZ 2.80 1
5GLI 2.50 1
5T1A 2.81 1
5TVN 2.90 1
5T04 3.30 1
5U09 2.60 1
5LWE 2.80 1
5UIG 3.50 1
5UNF 2.80 1
5UEN 3.20 1
5TE5 4.01 1
5UNG 2.80 1
5UNH 2.90 1
5TE3 2.70 1
5NDZ 3.60 1
5VEX 3.00 1
5NJ6 4.00 1
5UZ7 4.10 1
5NDD 2.80 1
5VEW 2.70 1
5V57 3.00 1
5XF1 3.19 1
5XEZ 3.00 1
5UVI 3.20 1
5V56 2.90 1
5JTB 2.80 1
5VAI 4.10 1
5VBL 2.60 1
5TZR 2.20 1
5XPR 3.60 1
5N2S 3.30 1
5TUD 3.00 1
5NX2 3.70 1
5UIW 2.20 1
5MZJ 2.00 1
5W0P 3.01 1
5TZY 3.22 1
5XRA 2.80 1
5XSZ 3.20 1
5X93 2.20 1
5XR8 2.95 1
5N2R 2.80 1
5X7D 2.70 1
5O9H 2.70 1
5MZP 2.10 1
5NM4 1.70 1
5NM2 1.95 1
5NLX 2.14 1
5OLO 3.10 1
6FFI 2.20 1
6B3J 3.30 1
5WIU 1.96 1
6FFH 2.65 1
5OLG 1.87 1
5WKT 3.20 1
5VRA 2.35 1
6FKA 2.70 1
5OLZ 1.90 1
5WF6 2.90 1
5V54 3.90 1
5WQC 1.96 1
5X33 3.70 1
5WS3 2.30 1
5WF5 2.60 1
5OM1 2.10 1
5YQZ 3.00 1
6B73 3.10 1
5OM4 2.00 1
6BQG 3.00 1
5OLH 2.60 1
5WIV 2.14 1
5OLV 2.00 1
6BQH 2.70 1
6CM4 2.87 1
6FKD 2.49 1
6FKC 2.46 1
6FK9 2.63 1
6FKB 3.03 1
6FK8 2.87 1
6FK7 2.62 1
6FK6 2.36 1
6AQF 2.51 1
5KW2 2.76 1
5ZBH 3.00 1
5ZBQ 2.70 1
